source_row,left,right,s_IE,s_SN,s_FT,s_JP,anchor_collision,anchor_occurrences,analysis_eligible,is_defining,has_reversed_twin
105,people-oriented,task-oriented,-1.23,-0.07,1.1,-0.57,False,1,True,False,False
106,everyone breaks the law now and then,only bad people break the law,-0.15,-0.4,-0.18,-0.51,False,1,True,False,False
107,tells others about their plans,tells others about what they have done,-0.22,-0.1,0.17,0.08,False,1,True,False,False
108,keep room door closed,leaves door open,0.83,-0.09,-0.17,0.08,False,1,True,False,False
109,wants to know what others think,decides on their own,-0.19,0.46,0.78,-0.02,False,1,True,False,False
110,eager,reluctant,-0.86,0.01,0.33,0.08,False,1,True,False,False
111,respects the letter of the law,follows the spirit of the law,0.06,0.51,-0.27,0.5,False,1,True,False,False
112,criticizes themselves,accepts themselves,0.48,-0.02,0.1,0.1,False,1,True,False,False
113,sounds and smells often bring back childhood memories,childhood memories never come unintentionally,-0.14,0.11,0.54,-0.13,False,1,True,False,False
114,quick thinker,deep thinker,-0.79,0.37,-0.18,-0.03,False,1,True,False,False
115,likes words,likes numbers,-0.1,-0.28,0.7,-0.22,False,1,True,False,False
116,argues for ideas,argues against ideas,-0.04,-0.2,0.36,0.07,False,1,True,False,False
118,complicated,uncomplicated,0.27,-0.41,0.06,0.13,False,1,True,False,False
119,hates the dentist,does not mind the dentist,0.19,0.02,0.11,0.03,False,1,True,False,False
120,wants the big picture,wants the details,-0.28,-0.63,0.03,-0.18,False,1,True,True,True
121,"if a lawyer, would prefer to be a defense attorney",would prefer to be prosecutor,0.13,-0.19,0.55,-0.25,False,1,True,False,False
122,gives hints,tell it straight up,0.35,-0.09,0.75,-0.11,False,1,True,False,False
123,timid,offensive,0.98,0.1,0.48,0.04,False,1,True,False,False
124,thinks only the lucky succeed,knows only the hard-working get lucky,0.02,0.06,0.26,-0.31,False,1,True,False,False
125,judges music based on melody,judges music based on lyrics,-0.01,0.0,-0.09,0.03,False,1,True,False,False
126,works best alone,works best in groups,1.19,-0.09,-0.33,0.21,False,1,True,True,False
127,relaxes,daydreams,-0.26,0.48,-0.22,0.34,False,1,True,False,False
128,views things as many shades of grey,views things as black and white,0.14,-0.29,0.25,-0.39,False,1,True,False,False
129,keeps pets,has no interest in pets,-0.15,0.15,0.4,-0.13,False,1,True,False,False
130,easy to gross out,fascinated by disgusting things,-0.09,0.25,0.38,0.12,False,1,True,False,False
131,fumbling,graceful,0.24,0.03,0.1,-0.28,False,1,True,False,False
132,hopeful,fearful,-0.68,-0.11,0.09,-0.01,False,1,True,False,False
133,shares deepest secrets,has no secrets worth sharing,-0.58,-0.11,0.69,-0.19,False,1,True,False,False
134,light sleeper,deep sleeper,0.08,0.03,-0.03,0.14,False,1,True,False,False
135,comfortable,troubled,-0.71,0.26,0.08,0.11,False,1,True,False,False
136,likes pop music,hates pop music,-0.3,0.44,0.44,-0.06,False,1,True,False,False
137,get a task done in one go,does a task a little at a time,-0.23,-0.01,-0.31,0.41,False,1,True,False,False
138,has to be lost for a long time before they ask for help,will stop and ask for directions right away,0.69,-0.08,-0.19,-0.25,False,1,True,False,False
139,feels very lucky,feels unlucky,-0.69,0.04,0.04,0.04,False,1,True,False,True
140,interested in family history,wants to leave that all behind,-0.07,0.11,0.29,0.21,False,1,True,False,False
141,how it is done matters,only the end results matters,0.04,-0.11,0.45,0.12,False,1,True,False,False
142,jokes about things,jokes about people,0.39,-0.07,0.23,0.06,False,1,True,False,False
143,plans far ahead,plans at the last minute,0.3,-0.04,-0.29,1.26,False,1,True,True,False
144,gets broken up with,does the breaking up,0.37,0.1,0.33,-0.2,False,1,True,False,False
145,likes change,resists change,-0.53,-0.38,-0.05,-0.37,False,1,True,False,False
146,eats quickly,savours the flavour,-0.22,0.04,-0.13,-0.09,False,1,True,False,False
147,finds the world interesting,finds the world boring,-0.25,-0.1,0.17,-0.07,False,1,True,False,False
148,likes popular music,likes music that is not well known,-0.42,0.43,0.21,0.24,False,1,True,False,False
149,remembers everything they did on their birthday before last,remembers not so much,-0.39,0.29,0.18,0.19,False,1,True,False,False
150,careful with money,a high roller,0.42,0.06,-0.28,0.56,False,1,True,False,False
151,has an accurate internal clock,often has no idea what time it is,-0.03,0.08,-0.16,0.59,False,1,True,False,False
152,supports a strong government,supports strong personal freedoms,-0.08,0.18,-0.02,0.31,False,1,True,False,False
153,judges a painting on how realistic it is,judges a painting by deeper criteria,-0.02,0.74,-0.51,0.38,False,1,True,False,False
154,gets worn out by parties,gets fired up by parties,1.77,-0.2,-0.21,0.35,False,1,True,True,False
155,tries to give convincing speeches,tries to give inspiring speeches,0.39,0.28,-1.04,0.33,False,1,True,False,True
156,loyal to friends,loyal to family,-0.04,-0.15,0.04,-0.27,False,1,True,False,False
157,"will say \""these are the things I have made\""","will say \""these are the things I have designed\""",-0.06,0.46,0.43,-0.11,True,2,False,False,False
158,likes getting gifts,has no need for gifts,-0.3,0.23,0.58,-0.22,False,1,True,False,False
159,cheerful,gloomy,-0.91,0.18,0.44,-0.04,False,1,True,False,False
160,prefers the old ways,tries new ways,0.44,0.55,0.15,0.33,False,1,True,False,False
161,wants aliens to exist,hopes that they do not,0.18,-0.43,-0.13,-0.26,False,1,True,False,False
162,wishes they could read minds,wishes they could fly,0.09,0.03,-0.25,0.38,False,1,True,False,False
163,impatient,tolerant,-0.19,-0.12,-0.4,0.12,False,1,True,False,False
164,jittery,smooth,0.23,0.07,0.27,-0.19,False,1,True,False,False
165,well dressed,scruffy,-0.31,0.05,0.07,0.4,False,1,True,False,False
166,never wants to make a mistake,accepts mistakes as inevitable,0.41,0.17,0.03,0.58,False,1,True,False,False
167,chooses carefully,chooses randomly,0.39,-0.05,-0.34,0.66,False,1,True,False,False
168,eats slowly,eats rapidly,0.22,-0.02,0.03,0.03,False,1,True,False,False
169,people are basically good,people are basically evil,-0.34,0.03,0.65,-0.17,False,1,True,False,False
170,interests often change,has stable interests,-0.35,-0.21,0.15,-0.63,False,1,True,False,False
171,thinks people can change,thinks people will only stay the same,-0.24,-0.06,0.59,-0.34,False,1,True,False,False
172,finds it difficult to yell very loudly,yelling to others when they are far away comes naturally,1.4,-0.11,-0.05,0.18,False,1,True,True,False
173,tries to behave intelligently,tries to show their creativity,0.27,0.14,-0.9,0.52,False,1,True,False,False
174,wants a big house,wants a cozy house,-0.52,0.07,-0.33,-0.02,False,1,True,False,False
175,works hard,plays hard,0.31,-0.02,-0.21,0.82,False,1,True,True,False
176,feels that time passes to slowly,feels that time passes to quickly,0.06,-0.01,-0.09,0.11,False,1,True,False,False
177,aware of surroundings,easy to sneak up on,0.02,-0.01,-0.32,0.29,False,1,True,False,False
178,serious,silly,0.64,-0.03,-0.51,0.58,False,1,True,False,False
179,enjoys cracking joints,cracking joints is gross,-0.19,-0.04,-0.16,-0.31,False,1,True,False,False
180,tries to give inspiring speeches,tries to give convincing speeches,-0.38,-0.18,0.99,-0.17,False,1,True,False,True
181,identifies with characters in stories,never really seems to like any fictional characters,0.06,-0.28,0.49,-0.12,False,1,True,False,False
182,wants to be tough,wants to be classy,0.13,0.06,-0.25,-0.04,False,1,True,False,False
183,sees the glass as glass half full,sees it as half empty,-0.71,0.03,0.35,-0.05,False,1,True,False,False
184,needs time alone,bored by time alone,1.44,-0.18,-0.18,0.22,False,1,True,True,False
185,wants the details,wants the big picture,0.32,0.57,0.05,0.25,False,1,True,True,True
186,has meaningful dreams,"has dreams that make no sense, about things that do not matter",-0.03,-0.14,0.29,-0.04,False,1,True,False,False
187,always looks for the best price,takes the first price,0.08,0.09,-0.25,0.28,False,1,True,False,False
188,likes to perform in front of other people,avoids public speaking,-1.41,-0.1,0.04,-0.05,False,1,True,True,False
189,wants honest friends,wants impressive friends,0.2,0.04,0.23,0.04,False,1,True,False,False
190,wants to be normal,wants to be different,0.24,0.51,0.01,0.39,False,1,True,False,False
191,takes stuff to mellow out,takes stuff to amp up,0.28,-0.25,0.07,0.03,False,1,True,False,False
192,stays at home,goes out on the town,1.43,-0.05,-0.18,0.26,False,1,True,True,False
193,likes civilization,wants to get back to nature,-0.36,0.25,-0.3,0.21,False,1,True,False,False
194,values emotions,uncomfortable with emotions,-0.55,0.03,1.67,-0.22,False,1,True,True,False
195,likes to drive fast,likes to keep it under control,-0.64,0.11,-0.07,-0.47,False,1,True,False,False
196,worries about who they are,accepts who they are,0.33,0.09,0.44,-0.04,False,1,True,False,False
197,frequently embarrassed,shameless,0.93,0.1,0.37,0.13,False,1,True,False,False
198,needs silence to sleep,can sleep through anything,0.58,-0.1,0.06,0.23,False,1,True,False,False
199,shows anger,hides anger,-0.64,0.11,0.22,-0.05,False,1,True,False,False
200,ambitious,rebellious,-0.09,-0.01,-0.14,0.66,False,1,True,False,False
201,remembers dreams,does not,-0.08,-0.3,0.28,0.03,False,1,True,False,False
202,likes team sports,likes individual sports,-0.8,0.37,0.31,-0.09,False,1,True,False,False
203,trendy,hardcore,-0.12,0.07,0.29,0.02,False,1,True,False,False
204,bounces around the room,remains calm,-1.31,0.03,0.44,-0.5,False,1,True,False,False
205,likes stories with lots of action,likes stories with lots of twists,-0.26,0.51,-0.03,0.04,False,1,True,False,False
206,thinks some people are all bad,knows everyone has a little bit of good in them,0.43,0.11,-0.78,0.23,False,1,True,False,False
207,likes certain types of music,likes all types,0.29,0.03,-0.37,0.16,False,1,True,False,False
208,worries about getting let down,worries about letting other people down,0.09,-0.1,-0.42,0.1,False,1,True,False,False
209,brave,careful,-0.77,-0.23,0.02,-0.15,False,1,True,False,False
210,hates people who show off,maybe a little impressed by people who show off,0.51,0.02,-0.24,0.27,False,1,True,False,False
211,enjoys mental competition,enjoys physical competition,0.42,-0.47,-0.18,0.07,False,1,True,False,False
212,stays up late,rises early,0.06,-0.14,0.15,-0.48,False,1,True,False,False
213,often mistaken as being angry,anger often goes unnoticed by others,0.09,-0.07,-0.4,0.21,False,1,True,False,False
214,cooperative,competitive,0.28,0.13,0.64,-0.1,False,1,True,False,False
215,fears death,accepts death,-0.03,0.27,0.29,-0.1,False,1,True,False,False
216,passive,aggressive,0.86,0.04,0.37,-0.13,False,1,True,False,False
217,creative,wise,-0.14,-0.09,0.33,-0.46,False,1,True,False,False
218,makes repairs,buys new,0.23,-0.11,-0.12,0.13,False,1,True,False,False
219,has an average taste in music,has superior taste in music,0.02,0.21,0.01,0.14,False,1,True,False,False
220,reacts deliberately,reacts instantly,0.67,-0.26,-0.36,0.46,False,1,True,False,False
221,has many interests,has deep interests,-0.82,0.11,0.08,-0.25,False,1,True,False,True
222,prefer to take multiple choice test,prefer essay answers,0.16,0.47,-0.08,-0.01,False,1,True,True,False
223,has neat handwriting,has messy handwriting,-0.02,0.18,0.14,0.45,False,1,True,False,False
224,likes being on solid ground,dreams of the sea,0.09,0.37,-0.43,0.51,False,1,True,False,False
225,bothered by spelling mistakes,"is fine with spelling mistakes, as long as the meaning comes through",0.26,0.11,-0.13,0.44,False,1,True,False,False
226,likes spring,likes fall,-0.48,0.39,0.24,-0.11,False,1,True,False,False
227,forever young,all grown up,-0.45,-0.05,0.38,-0.66,False,1,True,False,False
228,passionate,jaded,-0.56,0.02,0.73,-0.21,False,1,True,False,False
229,poor sense of smell,good sense of smell,0.17,-0.06,-0.12,-0.02,False,1,True,False,False
230,easily hurt,thick-skinned,0.22,0.08,1.1,-0.08,False,1,True,True,False
231,arrogant,insecure,-0.54,-0.1,-0.67,0.19,False,1,True,False,False
232,bonds over shared interests,bonds through shared experience,0.37,-0.14,-0.26,-0.04,False,1,True,False,False
233,empirical,theoretical,-0.16,0.71,0.11,0.22,False,1,True,True,False
234,envious of what other people have,envious of what other people are,-0.12,0.26,-0.14,0.1,False,1,True,False,False
235,often misplaces their keys,has a system so that does not happen,-0.2,-0.14,0.43,-0.8,False,1,True,False,False
236,keeps a clean room,just puts stuff where ever,0.05,0.15,-0.19,0.93,False,1,True,True,False
237,gets bored of songs quickly,never gets tired of a good song,-0.15,-0.0,-0.18,-0.09,False,1,True,False,False
238,hates conflict,makes trouble,0.64,0.14,0.52,0.23,False,1,True,False,False
239,practical,dreamy,-0.01,0.7,-0.88,0.76,False,1,True,False,False
240,must be special,content to be normal,-0.32,-0.46,0.14,-0.27,False,1,True,False,False
241,prefers to be captain,rather be first mate,-1.02,-0.21,-0.39,0.19,False,1,True,False,False
242,does not vary diet,tries new foods,0.59,0.26,-0.15,0.21,False,1,True,False,False
243,knows what they want,still trying to figure it all out,-0.39,-0.25,-0.39,0.76,False,1,True,False,False
244,gives complements,receives compliments,-0.13,0.0,0.74,0.02,False,1,True,False,False
245,"likes to \""just drive\""",would never drive without a purpose,-0.31,0.06,0.49,-0.63,False,1,True,False,False
246,thinks about what they would do as a criminal,does not like the idea of crime,-0.03,-0.47,-0.51,-0.34,False,1,True,False,False
247,wants deep friendships,wants many friendships,0.77,-0.11,0.08,0.15,False,1,True,False,False
248,scheduled,spontaneous,0.57,0.34,-0.35,1.17,False,1,True,False,False
249,steady,unstable,-0.19,0.16,-0.34,0.56,False,1,True,False,False
250,prefer to run a small business,prefer to run a large corporation,0.64,0.07,0.63,-0.07,False,1,True,False,False
251,rises early,sleeps late,-0.1,0.08,-0.1,0.58,False,1,True,False,False
252,bothered by disgusting things,fails to notice how gross things are,0.11,0.23,0.42,0.34,False,1,True,False,False
253,starts over when they fail,tries something new when they fail,0.3,0.36,-0.02,0.31,False,1,True,False,False
254,prefer to read the news,prefer to read a story,-0.19,0.01,-0.43,0.24,False,1,True,False,False
255,likes to tell stories,like to listen to stories,-0.96,-0.05,0.14,-0.13,False,1,True,False,True
256,always looking to taste something new,could eat the same thing every day,-0.51,-0.28,0.03,-0.33,False,1,True,False,False
257,likes sports,bored by sports,-0.7,0.39,-0.03,0.1,False,1,True,False,False
258,hates being photographed,loves it,1.06,-0.25,-0.44,0.21,False,1,True,False,False
259,wants to be good at fixing things,wants to be good at fixing people,0.4,-0.04,-1.28,0.1,False,1,True,True,False
260,works in fits and bursts,works through it steadily,-0.23,-0.38,0.3,-0.84,False,1,True,False,False
261,open,guarded,-1.41,0.04,0.67,-0.33,False,1,True,False,False
262,tries a sensible solution,tries a clever solution,0.32,0.63,0.34,0.36,False,1,True,False,False
263,leads from the front,manipulates things behind the scenes,-1.16,0.27,0.29,-0.09,False,1,True,False,True
264,normal,alternative,-0.08,0.61,0.02,0.36,False,1,True,False,False
265,likes looking at pictures of them as a baby,hates that,-0.52,0.14,0.86,-0.1,False,1,True,False,False
266,reads the instructions first,jumps right into it,0.57,0.03,-0.18,0.54,False,1,True,False,False
267,reckless,solid,-0.4,-0.1,0.21,-0.87,False,1,True,False,False
268,feels most content at the start of the day,feels most content at the end of the day,-0.23,0.04,0.17,0.11,False,1,True,False,False
269,would enjoy being stranded on an island,would want to be rescued as quickly as possible,0.81,-0.46,-0.3,0.04,False,1,True,False,False
270,reflective,active,1.0,-0.4,0.09,-0.03,False,1,True,False,False
271,does a good job handling the preparation,does a good job handling the fallout,0.3,0.17,-0.05,0.72,False,1,True,False,False
272,mysterious,reliable,0.3,-0.41,-0.06,-0.53,False,1,True,False,False
273,still in contact with first friends,loses touch with old friends,-0.57,0.35,0.3,0.22,False,1,True,False,False
274,follows rules,breaks rules,0.37,0.56,0.24,0.66,False,1,True,False,False
275,"thinks \""robotic\"" is an insult",strives to have a mechanical mind,-0.45,-0.02,1.21,-0.41,False,1,True,True,False
276,embarrassed by the things they daydream about,proud of the things they daydream about,0.46,0.31,0.1,0.19,False,1,True,False,False
277,puts time into choosing/preparing food,goes for whatever is simplest,-0.1,-0.27,0.17,0.45,False,1,True,False,False
278,has difficulty explaining their ideas,confident explaining their ideas,1.02,0.26,0.31,-0.13,False,1,True,False,False
279,focuses on one thing at a time,multitasks,0.47,0.14,0.04,0.33,False,1,True,False,False
280,does their best,does what they need to get by,-0.15,-0.13,0.17,0.72,False,1,True,False,False
281,buys things they like,only buys things they really need,-0.32,0.15,0.39,-0.35,False,1,True,False,False
282,obsessed with travelling,no need to see the world,-0.35,-0.08,0.22,-0.23,False,1,True,False,True
283,trusts personal experience,trusts theoretical knowledge,-0.3,0.45,0.68,-0.09,False,1,True,False,False
284,no need to see the world,obsessed with travelling,0.47,0.15,-0.25,0.33,False,1,True,False,True
285,follows the heart,follows the head,-0.36,0.01,1.6,-0.45,False,1,True,True,False
286,demands precision,satisfied with good enough,0.25,-0.12,-0.5,0.68,False,1,True,False,False
287,makes lists,relies on memory,0.06,0.14,0.13,0.75,False,1,True,True,False
288,prefer to be wealthy,prefer to be famous,0.41,0.15,-0.36,0.22,False,1,True,False,False
289,never edits their writing once they are done,always goes back and makes many revisions,-0.16,0.06,0.02,-0.41,False,1,True,False,False
290,mellow,energetic,1.37,-0.05,-0.12,0.14,False,1,True,True,True
291,tactful with others,blunt with others,0.02,0.04,0.86,-0.07,False,1,True,False,False
292,nervous,calm,0.28,-0.05,0.56,-0.03,False,1,True,False,False
293,likes music,likes the visual arts,-0.01,0.24,0.06,0.11,False,1,True,False,False
294,happy at home,obsessed with travelling,0.78,0.09,-0.17,0.32,False,1,True,False,False
295,bases morality on compassion,bases morality on justice,-0.16,-0.02,1.32,-0.39,False,1,True,True,False
296,okay,perfect,0.46,0.14,0.41,-0.28,False,1,True,False,False
297,judges a painting on how realistic it is,judges a painting on the feeling it conveys,0.07,0.34,-0.84,0.33,False,1,True,False,False
298,saves it,uses it,0.39,0.05,0.18,0.29,False,1,True,False,False
